created,username_URL,username,username2,State,city,trails,trails_URL,trails_URL3,trails4,trails_URL5,trails6,dist
Mar 2,https://www.trailforks.com/profile/Andrewlempp/,Andrewlempp,Andrewlempp,NY,Deer Park,"Loop 5a Yellow, Loop 8 Red, Loop 10 Yellow",https://www.trailforks.com/trails/loop-5a-yellow/,https://www.trailforks.com/trails/loop-8-red/,Loop 8 Red,https://www.trailforks.com/trails/loop-10-yellow/,Loop 10 Yellow,10 miles
Mar 2,https://www.trailforks.com/profile/Mhas63/,Mhas63,Mhas63,CA,Redding,"  Mule TH Connect,
Lower Mule Mountain,
Trailhead Connector,
The Escalator,
The Escalator,
Trailhead Loop,
Lower Mule Connector,
Mule Connect,
Mule Connect,
Mule TH Connect,
 ... ",https://www.trailforks.com/ridelog/view/22442491/achievements/,https://www.trailforks.com/trails/mule-th-connect/,Mule TH Connect,https://www.trailforks.com/trails/lower-mule-mountain/,Lower Mule Mountain,9 miles
Mar 2,https://www.trailforks.com/profile/Twalton1/,Twalton1,Twalton1,TX,Austin,"  Twin Falls Climb,
Dumptruck,
Hill Of Life Drop-In,
Hill Of Life Drop-In,
Travis Country Access,
 ... ",https://www.trailforks.com/ridelog/view/22435357/achievements/,https://www.trailforks.com/trails/twin-falls-climb/,Twin Falls Climb,https://www.trailforks.com/trails/dumptruck/,Dumptruck,25 miles
Mar 2,https://www.trailforks.com/profile/Spute2000/,Spute2000,Spute2000,CA,Ladera Ranch,"  Live Oak Trail (Mesa Section),
Twisty Tire,
Live Oak (Creek Crossing),
Westridge (Tijeras to Tijeras singletrack)",https://www.trailforks.com/ridelog/view/22436189/achievements/,https://www.trailforks.com/trails/live-oak-trail-mesa-section/,Live Oak Trail (Mesa Section),https://www.trailforks.com/trails/twisty-tire/,Twisty Tire,16 miles
Mar 2,https://www.trailforks.com/profile/DonD49/,DonD49,DonD49,VA,Sherando,,,,,,,17 miles
Mar 2,https://www.trailforks.com/profile/Kraken873/,Kraken873,Kraken873,FL,Orlando,,,,,,,7 miles
Mar 2,https://www.trailforks.com/profile/Mhendrickson/,Mhendrickson,Mhendrickson,CA,San Clemente,"  Car Crash,
Frank and Beanz,
Jumpline 1,
Holeshot,
No Tools,
Mike & Linda's,
Patsy's,
San Mateo Beach Trail",https://www.trailforks.com/ridelog/view/22437450/achievements/,https://www.trailforks.com/trails/car-crash-234324/,Car Crash,https://www.trailforks.com/trails/frank-and-beanz/,Frank and Beanz,15 miles
Mar 2,https://www.trailforks.com/profile/rpizz/,rpizz,rpizz,CA,Benicia,"To the Tower, Connector path",https://www.trailforks.com/trails/to-the-tower-406519/,https://www.trailforks.com/trails/connector-path-357449/,Connector path,,,15 miles
Mar 2,https://www.trailforks.com/profile/timmersbc/,timmersbc,timmersbc,BC,Penticton,"  KVR - Penticton to OK Falls,
KVR - Penticton to OK Falls",https://www.trailforks.com/ridelog/view/22436659/achievements/,https://www.trailforks.com/trails/kvr-penticton-to-ok-falls/,KVR - Penticton to OK Falls,https://www.trailforks.com/trails/kvr-penticton-to-ok-falls/,KVR - Penticton to OK Falls,20 miles
Mar 2,https://www.trailforks.com/profile/MTass/,MTass,MTass,OR,Bend,,,,,,,1 mile
Mar 2,https://www.trailforks.com/profile/vinmanc/,vinmanc,vinmanc,NJ,Roxbury,,,,,,,"2,480 ft"
Mar 2,https://www.trailforks.com/profile/gidlee/,gidlee,gidlee,CA,Santa Clarita,"  Tapia Canyon Road,
Kona,
Hammer's Pass,
Tapia Canyon Road,
Karl's",https://www.trailforks.com/ridelog/view/22435072/achievements/,https://www.trailforks.com/trails/tapia-canyon-road/,Tapia Canyon Road,https://www.trailforks.com/trails/kona/,Kona,9 miles
Mar 2,https://www.trailforks.com/profile/clairesteciuk/,clairesteciuk,clairesteciuk,BC,Victoria,  E&N Rail Trail,https://www.trailforks.com/ridelog/view/22437455/achievements/,https://www.trailforks.com/trails/e-n-rail-trail/,E&N Rail Trail,,,29 miles
Mar 2,https://www.trailforks.com/profile/Johnseifert3/,Johnseifert3,Johnseifert3,MD,Sykesville,,,,,,,11 miles
Mar 2,https://www.trailforks.com/profile/jpcribari/,jpcribari,jpcribari,CO,Salida,,,,,,,22 miles
