length,difficulty,longitude,latitude,trail_link,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
6.7,INTERMEDIATE,32.528302000000004,-111.007497,https://www.mtbproject.com/trail/7007557/badlands-trail,Catalina,0.956020942408377,4.4,,,,,318.0,307.0,2.0,6.0,3736.0,3546.0,Unknown,Unknown
3.4,EASY/INTERMEDIATE,32.024978999999995,-110.563073,https://www.mtbproject.com/trail/7041928/south-loop,Mescal,0.9549738219895287,4.4,,,,,188.0,249.0,2.0,7.0,3887.0,3764.0,No Dogs,Unknown
3.5,INTERMEDIATE/DIFFICULT,34.339907000000004,-111.09616000000001,https://www.mtbproject.com/trail/7017424/horton-creek-trail,Star Valley,0.9539267015706806,5.0,,,,,1214.0,9.0,7.0,29.0,6646.0,5436.0,Off-leash,Unknown
4.6,INTERMEDIATE,33.770058,-111.79843600000001,https://www.mtbproject.com/trail/7012695/granite-mountain-loop-trail,Rio Verde,0.9528795811518325,4.5,City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,356.0,305.0,3.0,8.0,2935.0,2670.0,Unknown,Not Allowed
1.3,DIFFICULT,34.80087,-111.770076,https://www.mtbproject.com/trail/4932620/made-in-the-shade,Village of Oak Creek (Big Park),0.9518324607329843,3.8,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,166.0,305.0,7.0,18.0,4540.0,4259.0,Unknown,Unknown
4.6,INTERMEDIATE,34.505589,-112.478075,https://www.mtbproject.com/trail/4422817/goldwater-lakes-trail-396,Prescott,0.9507853403141361,4.1,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,872.0,338.0,5.0,12.0,6164.0,5630.0,Unknown,Unknown
1.1,INTERMEDIATE,34.558724,-112.52630500000001,https://www.mtbproject.com/trail/7018140/firewater-trail-325,Prescott,0.949738219895288,5.0,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,0.0,244.0,4.0,10.0,5911.0,5667.0,Unknown,Unknown
1.4,INTERMEDIATE/DIFFICULT,32.494076,-110.867719,https://www.mtbproject.com/trail/4743176/the-chutes,Catalina,0.9486910994764398,4.1,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,AZ State Land Department,http://www.azland.gov/,160.0,163.0,4.0,9.0,3289.0,3127.0,Unknown,Unknown
3.5,EASY/INTERMEDIATE,34.824360999999996,-111.775475,https://www.mtbproject.com/trail/4915849/bell-rock-trail,Village of Oak Creek (Big Park),0.9476439790575917,3.5,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,200.0,297.0,3.0,6.0,4386.0,4173.0,Unknown,Unknown
0.9,INTERMEDIATE,33.334756,-112.02676100000001,https://www.mtbproject.com/trail/3589571/secret-trail,Guadalupe,0.9465968586387434,4.4,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,21.0,97.0,3.0,7.0,1523.0,1431.0,Unknown,Allowed
9.5,INTERMEDIATE,34.495069,-112.439276,https://www.mtbproject.com/trail/7000300/ranch-trail-62,Prescott,0.9455497382198953,4.7,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,592.0,1164.0,3.0,13.0,6556.0,5603.0,Unknown,Unknown
1.7,INTERMEDIATE/DIFFICULT,35.346284999999995,-111.639219,https://www.mtbproject.com/trail/7000138/inner-basin-trail,Flagstaff,0.9445026178010472,5.0,Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,0.0,718.0,8.0,21.0,9373.0,8654.0,Unknown,Unknown
5.4,EASY,34.575456,-112.42732,https://www.mtbproject.com/trail/7001406/peavine-trail,Prescott,0.9434554973821989,4.5,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,,,46.0,252.0,1.0,3.0,5204.0,4986.0,Leashed,Unknown
2.0,INTERMEDIATE,34.137776,-109.74786999999999,https://www.mtbproject.com/trail/7016114/los-burros-shortcut,Pinetop-Lakeside,0.9424083769633508,5.0,Pinetop-Lakeside TRACKS,https://www.mtbproject.com/club/1027178/pinetop-lakeside-tracks,USFS - Apache & Sitgreaves National Forests Office,http://www.fs.usda.gov/asnf,47.0,356.0,4.0,17.0,8161.0,7851.0,Unknown,Unknown
2.6,DIFFICULT,35.415637,-114.15027099999999,https://www.mtbproject.com/trail/7014529/cherum-peak-trail,New Kingman-Butler,0.9413612565445026,5.0,,,,,1100.0,169.0,9.0,26.0,6915.0,5858.0,Unknown,Allowed
